Airline,Max Price,Min Price,Avg Price
Luxair,37898,14718,26308
Austrian,59124,13678,25223
Lufthansa,59124,13297,19734
Brussels Airlines,14148,13647,13814
Swiss,24822,13471,16765
KLM Royal Dutch Airlines,51168,13422,30615
Eurowings,28139,5005,13814
Scandinavian Airlines,25495,10752,19778
Aer Lingus,41615,18315,25140
Norwegian Air Shuttle,11377,9791,10584
Air France,26532,13584,19902
British Airways,41108,19696,27333
easyJet,6476,4460,5468
