Airline,Max Price,Min Price,Avg Price
S7 Airlines,18144,13883,16013
Belavia,22768,15692,19609
Azerbaijan Airlines,66780,11741,26674
Flydubai,29271,26373,26818
Red Wings Airlines,14237,12186,13211
Gulf Air,33342,33342,33342
AJet,25766,15912,21122
Pegasus,22942,22942,22942
Ural Airlines,28585,21019,24444
Aeroflot,26639,14831,20735
Emirates,66780,52392,57188
Türk Hava Yolları,66780,24924,34317
